year,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
2008,7.14491605758667,0.4506623148918152,50.79999923706055,0.7181143164634705,0.17899304628372192,0.8816863298416138
2009,7.314788341522217,0.5523084402084351,51.20000076293945,0.6788963675498962,0.2012282758951187,0.8500354290008545
2010,7.421525478363037,0.5390751957893372,51.599998474121094,0.6001272201538086,0.13157793879508972,0.7067660689353943
2011,7.394348621368408,0.52110356092453,51.91999816894531,0.4959014058113098,0.17345161736011505,0.731108546257019
2012,7.480295658111572,0.5206367373466492,52.2400016784668,0.5309350490570068,0.24694320559501648,0.7756198048591614
2013,7.499845027923584,0.48355185985565186,52.560001373291016,0.5779553651809692,0.07203268259763718,0.8232041001319885
2014,7.493170261383057,0.525568425655365,52.880001068115234,0.5085140466690063,0.11490637063980103,0.8712419867515564
2015,7.476808071136475,0.5285972356796265,53.20000076293945,0.3889275789260864,0.09077954292297363,0.8806383013725281
2016,7.471376419067383,0.5590717792510986,53.0,0.5225661993026733,0.05318796634674072,0.7932455539703369
2017,7.47219705581665,0.4908800721168518,52.79999923706055,0.4270108640193939,-0.11038155108690262,0.9543925523757935
2007,9.042030334472656,0.8213716149330139,65.80000305175781,0.5286047458648682,-0.009071795269846916,0.8746995329856873
2009,9.161714553833008,0.8330466151237488,66.19999694824219,0.5252232551574707,-0.15795575082302094,0.8636654019355774
2010,9.20307731628418,0.7331522703170776,66.4000015258789,0.5689584016799927,-0.17239166796207428,0.7262616753578186
2011,9.230902671813965,0.7594338059425354,66.68000030517578,0.4874962568283081,-0.20491552352905273,0.8770025968551636
2012,9.24662971496582,0.7845017910003662,66.95999908447266,0.6015121340751648,-0.16920457780361176,0.8476752042770386
2013,9.258432388305664,0.7594767212867737,67.23999786376953,0.6318302750587463,-0.12756776809692383,0.862904965877533
2014,9.278047561645508,0.6255869269371033,67.5199966430664,0.7346484065055847,-0.025046324357390404,0.8827044367790222
2015,9.303014755249023,0.6393561363220215,67.80000305175781,0.7038506865501404,-0.08126018941402435,0.8847930431365967
2016,9.337564468383789,0.6384114623069763,68.0999984741211,0.7298189401626587,-0.017473436892032623,0.901070773601532
2017,9.37613296508789,0.6376982927322388,68.4000015258789,0.7496110200881958,-0.029357222840189934,0.8761346340179443
2011,9.476264953613281,0.8102344870567322,64.66000366210938,0.5295612812042236,-0.20126432180404663,0.637981653213501
2012,9.489941596984863,0.8393968939781189,64.81999969482422,0.5866634845733643,-0.19273394346237183,0.6901163458824158
2017,9.53793716430664,0.8067538738250732,65.69999694824219,0.4366704821586609,-0.18774977326393127,0.6997742056846619
2011,8.75564193725586,0.7230943441390991,52.5,0.5837017893791199,0.061985328793525696,0.9113203287124634
2012,8.80163288116455,0.7525928616523743,53.20000076293945,0.4560285806655884,-0.12940266728401184,0.9063004851341248
2013,8.814471244812012,0.7215907573699951,53.900001525878906,0.4095548689365387,-0.0969068855047226,0.8163754940032959
2014,8.826595306396484,0.7546154856681824,54.599998474121094,0.3745415508747101,-0.16108842194080353,0.8340756297111511
2006,9.723515510559082,0.9384627938270569,66.81999969482422,0.7330036759376526,-0.14922593533992767,0.851799488067627
2007,9.799775123596191,0.8622055649757385,66.94000244140625,0.6528326272964478,-0.13342809677124023,0.8810577392578125
2008,9.829619407653809,0.8921945095062256,67.05999755859375,0.6782221794128418,-0.1242230162024498,0.8649962544441223
2009,9.758615493774414,0.9186931848526001,67.18000030517578,0.6366464495658875,-0.12233243882656097,0.8847422003746033
2010,9.847542762756348,0.9267985820770264,67.30000305175781,0.7302581667900085,-0.11839669197797775,0.8546954393386841
2011,9.894318580627441,0.8890734910964966,67.4800033569336,0.8158020377159119,-0.1667696237564087,0.7546457052230835
2012,9.872632026672363,0.9017763733863831,67.66000366210938,0.7474983930587769,-0.14035704731941223,0.8165462017059326
2013,9.885209083557129,0.9098742008209229,67.83999633789062,0.7372503876686096,-0.12288219481706619,0.8229002952575684
2014,9.848767280578613,0.9178704023361206,68.0199966430664,0.7450577616691589,-0.15686973929405212,0.8541916012763977
2015,9.864933013916016,0.9264922738075256,68.19999694824219,0.8812236785888672,-0.1665857583284378,0.8509061932563782
2016,9.833337783813477,0.8828191161155701,68.4000015258789,0.8477022051811218,-0.1844516545534134,0.8509244918823242
2017,9.849303245544434,0.9066991209983826,68.5999984741211,0.8319661617279053,-0.17852172255516052,0.8410524725914001
2006,8.71778392791748,0.6818767786026001,64.80000305175781,0.5201978087425232,-0.21455992758274078,0.8495131134986877
2007,8.855331420898438,0.7596443295478821,64.9000015258789,0.6054107546806335,-0.2349059283733368,0.8174448609352112
2008,8.93061637878418,0.7094855308532715,65.0,0.4621565639972687,-0.19916163384914398,0.8760992288589478
2009,8.784786224365234,0.6800069212913513,65.0999984741211,0.4414127469062805,-0.19772003591060638,0.8818874955177307
2010,8.810284614562988,0.6603423357009888,65.19999694824219,0.45925670862197876,-0.15979206562042236,0.890629231929779
2011,8.856485366821289,0.7051084637641907,65.36000061035156,0.4645247161388397,-0.20918774604797363,0.8746010065078735
2012,8.923341751098633,0.6764464378356934,65.5199966430664,0.5018637776374817,-0.19899633526802063,0.8925443887710571
2013,8.951189041137695,0.7232600450515747,65.68000030517578,0.5040818452835083,-0.17932561039924622,0.8997967839241028
2014,8.981454849243164,0.7387635111808777,65.83999633789062,0.5064871311187744,-0.20235393941402435,0.9203904867172241
2015,9.008448600769043,0.7225510478019714,66.0,0.5510266423225403,-0.18653541803359985,0.901462197303772
